Country,JobTitle,Category,CostofLivingIndex,RentIndex,CostofLivingPlusRentIndex,GroceriesIndex,RestaurantPriceIndex,LocalPurchasingPowerIndex,SalaryUSD,SalaryRoundedUSD,SalaryRangeinK
Croatia,Doctor,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,63718.89,63719,60-70
Croatia,Emergency Department Physician,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,56197.41,56197,50-60
Algeria,Anesthesiologist,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,50394.67,50395,50-60
Algeria,Breast Center Manager,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,51361.48,51361,50-60
Algeria,Cardiology Manager,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,51552.18,51552,50-60
Algeria,Cardiovascular Specialist,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,64828.65,64829,60-70
Algeria,Chief of Psychology,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,50120.87,50121,50-60
Algeria,Chief of Surgery,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,72838.47,72838,70-80
Algeria,Clinical Psychologist,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,51823,51823,50-60
Algeria,Internist,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,51209.38,51209,50-60
Algeria,Invasive Cardiologist,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,66057.39,66057,60-70
Algeria,Neurologist,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,51361.48,51361,50-60
Algeria,Oral Surgeon,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,52798.72,52799,50-60
Algeria,Physician - Anesthesiology,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,56188.89,56189,50-60
Algeria,Physician - Cardiology,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,60465.74,60466,60-70
Algeria,Physician - Immunology / Allergy,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,50572,50572,50-60
Algeria,Physician - Internal Medicine,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,53053.97,53054,50-60
Algeria,Physician - Nephrology,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,52438.86,52439,50-60
Algeria,Physician - Neurology,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,52633.26,52633,50-60
Algeria,Physician - Radiation Therapy,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,50572,50572,50-60
Algeria,Physician - Radiology,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,50830.22,50830,50-60
Algeria,Physician - Urology,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,58134.39,58134,50-60
Algeria,Surgeon,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,52277.84,52278,50-60
Algeria,Surgeon - Burn,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,50394.67,50395,50-60
Algeria,Surgeon - Cardiothoracic,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,69542.53,69543,60-70
Algeria,Surgeon - Heart Transplant,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,76114.36,76114,70-80
Algeria,Surgeon - Neurology,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,65800.66,65801,60-70
Algeria,Surgeon - Orthopedic,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,74628.89,74629,70-80
Algeria,Surgeon - Pediatric,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,59917.4,59917,50-60
Algeria,Surgeon - Plastic Reconstructive,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,69815.59,69816,60-70
Algeria,Surgeon - Trauma,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,56107.27,56107,50-60
Algeria,Urologist,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,56363.26,56363,50-60
Armenia,Director of Finance,Accounting and Finance,38.6,19.5,29.5,34.1,36.2,32.1,52611.32,52611,50-60
Armenia,Finance Director,Accounting and Finance,38.6,19.5,29.5,34.1,36.2,32.1,50470.83,50471,50-60
Armenia,Financial Director,Accounting and Finance,38.6,19.5,29.5,34.1,36.2,32.1,52003.36,52003,50-60
Armenia,Group Financial Manager,Accounting and Finance,38.6,19.5,29.5,34.1,36.2,32.1,50161.88,50162,50-60
Armenia,Airlines Sales Director,Airlines / Aviation / Aerospace / Defense,38.6,19.5,29.5,34.1,36.2,32.1,50161.88,50162,50-60
Armenia,Airport Services Manager,Airlines / Aviation / Aerospace / Defense,38.6,19.5,29.5,34.1,36.2,32.1,51389.53,51390,50-60
Armenia,Aviation Manager,Airlines / Aviation / Aerospace / Defense,38.6,19.5,29.5,34.1,36.2,32.1,52920.78,52921,50-60
Armenia,Bank Manager,Banking,38.6,19.5,29.5,34.1,36.2,32.1,52003.36,52003,50-60
Armenia,Bank Operational Risk Manager,Banking,38.6,19.5,29.5,34.1,36.2,32.1,52003.36,52003,50-60
Armenia,Bank Operations Head,Banking,38.6,19.5,29.5,34.1,36.2,32.1,51698.74,51699,50-60
Armenia,Bank Regional Manager,Banking,38.6,19.5,29.5,34.1,36.2,32.1,54453.31,54453,50-60
Armenia,Capital Risk Manager,Banking,38.6,19.5,29.5,34.1,36.2,32.1,52304.92,52305,50-60
Armenia,Internal Bank Audit Manager,Banking,38.6,19.5,29.5,34.1,36.2,32.1,51389.53,51390,50-60
Armenia,International Banking Manager,Banking,38.6,19.5,29.5,34.1,36.2,32.1,53529.25,53529,50-60
Armenia,CEO,Executive and Management,38.6,19.5,29.5,34.1,36.2,32.1,57505.1,57505,50-60
Armenia,Chairman of The Board,Executive and Management,38.6,19.5,29.5,34.1,36.2,32.1,55366.4,55366,50-60
Armenia,Chief Executive Officer,Executive and Management,38.6,19.5,29.5,34.1,36.2,32.1,57818.39,57818,50-60
Armenia,Executive Director,Executive and Management,38.6,19.5,29.5,34.1,36.2,32.1,52611.32,52611,50-60
Armenia,Anesthesiologist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,78618.1,78618,70-80
Armenia,Breast Center Manager,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,76776.88,76777,70-80
Armenia,Cardiology Manager,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,70046.97,70047,70-80
Armenia,Cardiovascular Specialist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,90547.16,90547,80-90
Armenia,Chief of Psychology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,78005.04,78005,70-80
Armenia,Chief of Surgery,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,108897.44,108897,80-90
Armenia,Clinical Director,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,64239.59,64240,60-70
Armenia,Clinical Psychologist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,77085.57,77086,70-80
Armenia,Counseling Psychologist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,55677.39,55677,50-60
Armenia,Dentist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,59035.33,59035,50-60
Armenia,Dermatologist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,74029.19,74029,70-80
Armenia,Doctor,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,59646.61,59647,50-60
Armenia,Emergency Department Physician,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,53840.76,53841,50-60
Armenia,Emergency Management Director,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,60564.54,60565,60-70
Armenia,Emergency Services Director,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,62093.75,62094,60-70
Armenia,Endodontist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,68212.89,68213,60-70
Armenia,Exercise Physiologist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,57206.34,57206,50-60
Armenia,Forensic Pathologist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,61180.92,61181,60-70
Armenia,Health Compliance Director,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,55982.77,55983,50-60
Armenia,Health Economist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,56586.4,56586,50-60
Armenia,Health Services Manager,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,50470.83,50471,50-60
Armenia,Healthcare Practitioner,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,50161.88,50162,50-60
Armenia,Internist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,76477.36,76477,70-80
Armenia,Interventionist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,74029.19,74029,70-80
Armenia,Invasive Cardiologist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,100029.85,100030,80-90
Armenia,Maternity Services Director,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,57505.1,57505,50-60
Armenia,Medical Director,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,54145.88,54146,50-60
Armenia,Naturopathic Physician,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,75866.08,75866,70-80
Armenia,Neonatologist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,50161.88,50162,50-60
Armenia,Neurologist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,74334.57,74335,70-80
Armenia,Nuclear Medicine Physician,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,65770.08,65770,60-70
Armenia,Obstetrician / Gynecologist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,70358.22,70358,70-80
Armenia,Operating Room Services Director,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,52304.92,52305,50-60
Armenia,Ophthalmologist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,54145.88,54146,50-60
Armenia,Optometrist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,50782.33,50782,50-60
Armenia,Oral Surgeon,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,78005.04,78005,70-80
Armenia,Orthodontist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,68212.89,68213,60-70
Armenia,Orthoptist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,53222.34,53222,50-60
Armenia,Orthotist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,53840.76,53841,50-60
Armenia,Pediatrician,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,60257.63,60258,60-70
Armenia,Perfusionist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,63010.41,63010,60-70
Armenia,Periodontist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,70664.62,70665,70-80
Armenia,Physician,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,60257.63,60258,60-70
Armenia,Physician - Anesthesiology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,87175.97,87176,80-90
Armenia,Physician - Cardiology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,94517.91,94518,80-90
Armenia,Physician - CCU,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,54145.88,54146,50-60
Armenia,Physician - Dermatology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,69746.69,69747,60-70
Armenia,Physician - Emergency Room,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,52920.78,52921,50-60
Armenia,Physician - Endocrinology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,68522.35,68522,60-70
Armenia,Physician - Gastroenterology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,66071.38,66071,60-70
Armenia,Physician - Generalist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,53529.25,53529,50-60
Armenia,Physician - Hematology / Oncology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,66071.38,66071,60-70
Armenia,Physician - Immunology / Allergy,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,69746.69,69747,60-70
Armenia,Physician - Infectious Disease,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,60257.63,60258,60-70
Armenia,Physician - Internal Medicine,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,74334.57,74335,70-80
Armenia,Physician - Maternal / Fetal Medicine,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,60257.63,60258,60-70
Armenia,Physician - Nephrology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,74633.33,74633,70-80
Armenia,Physician - Neurology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,75249.45,75249,70-80
Armenia,Physician - Nuclear Medicine,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,64850.36,64850,60-70
Armenia,Physician - Obstetrics / Gynecology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,69127.51,69128,60-70
Armenia,Physician - Occupational Medicine,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,54145.88,54146,50-60
Armenia,Physician - Pathology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,53529.25,53529,50-60
Armenia,Physician - Pediatric Cardiology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,66991.36,66991,60-70
Armenia,Physician - Pediatric Neonatology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,64547.01,64547,60-70
Armenia,Physician - Pediatrics,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,59035.33,59035,50-60
Armenia,Physician - Physiatry,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,65158.8,65159,60-70
Armenia,Physician - Podiatry,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,60257.63,60258,60-70
Armenia,Physician - Radiation Therapy,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,72187.97,72188,70-80
Armenia,Physician - Radiology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,73108.2,73108,70-80
Armenia,Physician - Rheumatology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,65158.8,65159,60-70
Armenia,Physician - Sports Medicine,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,65158.8,65159,60-70
Armenia,Physician - Urology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,85648.03,85648,80-90
Armenia,Preventive Medicine Physician,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,57818.39,57818,50-60
Armenia,Prosthodontist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,68212.89,68213,60-70
Armenia,Psychiatrist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,63622.71,63623,60-70
Armenia,Psychololgist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,65158.8,65159,60-70
Armenia,Psychometrician,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,56586.4,56586,50-60
Armenia,Radiation Therapist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,66380.84,66381,60-70
Armenia,Radiologist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,67294.44,67294,60-70
Armenia,Radiology Manager,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,61483.75,61484,60-70
Armenia,Rehabilitation Director,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,55677.39,55677,50-60
Armenia,Rehabilitation Services Manager,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,62706.81,62707,60-70
Armenia,Respiratory Care Practitioner,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,53222.34,53222,50-60
Armenia,Surgeon,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,78618.1,78618,70-80
Armenia,Surgeon - Burn,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,76477.36,76477,70-80
Armenia,Surgeon - Cardiothoracic,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,96054,96054,80-90
Armenia,Surgeon - Heart Transplant,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,105841.05,105841,80-90
Armenia,Surgeon - Neurology,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,92381.5,92382,80-90
Armenia,Surgeon - Orthopedic,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,105229.01,105229,80-90
Armenia,Surgeon - Pediatric,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,85347.75,85348,80-90
Armenia,Surgeon - Plastic Reconstructive,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,100029.85,100030,80-90
Armenia,Surgeon - Trauma,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,80752.72,80753,80-90
Armenia,Treatment Services Director,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,67906.49,67906,60-70
Armenia,Urologist,Health and Medical,38.6,19.5,29.5,34.1,36.2,32.1,86572.08,86572,80-90
Armenia,Administrative Law Judge,Legal,38.6,19.5,29.5,34.1,36.2,32.1,63929.62,63930,60-70
Armenia,Crown Prosecution Service Lawyer,Legal,38.6,19.5,29.5,34.1,36.2,32.1,66380.84,66381,60-70
Armenia,General Counsel,Legal,38.6,19.5,29.5,34.1,36.2,32.1,60868.65,60869,60-70
Armenia,Judge Advocate,Legal,38.6,19.5,29.5,34.1,36.2,32.1,52003.36,52003,50-60
Armenia,Legal Services Director,Legal,38.6,19.5,29.5,34.1,36.2,32.1,55982.77,55983,50-60
Armenia,Legal Services Manager,Legal,38.6,19.5,29.5,34.1,36.2,32.1,57818.39,57818,50-60
Armenia,Litigation Attorney,Legal,38.6,19.5,29.5,34.1,36.2,32.1,57818.39,57818,50-60
Armenia,Magistrate Judge,Legal,38.6,19.5,29.5,34.1,36.2,32.1,73108.2,73108,70-80
Armenia,Associate Medical Affairs Director,Pharmaceutical and Biotechnology,38.6,19.5,29.5,34.1,36.2,32.1,51389.53,51390,50-60
Armenia,Biological Scientist,Pharmaceutical and Biotechnology,38.6,19.5,29.5,34.1,36.2,32.1,53840.76,53841,50-60
Armenia,Molecular and Cellular Biologist,Pharmaceutical and Biotechnology,38.6,19.5,29.5,34.1,36.2,32.1,54145.88,54146,50-60
Armenia,Pharmaceutical Manager,Pharmaceutical and Biotechnology,38.6,19.5,29.5,34.1,36.2,32.1,57505.1,57505,50-60
Armenia,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,38.6,19.5,29.5,34.1,36.2,32.1,60868.65,60869,60-70
Armenia,Pharmaceutical Operations Excellence Manager,Pharmaceutical and Biotechnology,38.6,19.5,29.5,34.1,36.2,32.1,50161.88,50162,50-60
Armenia,Pharmaceutical Supply Chain Manager,Pharmaceutical and Biotechnology,38.6,19.5,29.5,34.1,36.2,32.1,50470.83,50471,50-60
Armenia,Area Sales Director,Sales Retail and Wholesale,38.6,19.5,29.5,34.1,36.2,32.1,50782.33,50782,50-60
Armenia,Global Wholesale Manager,Sales Retail and Wholesale,38.6,19.5,29.5,34.1,36.2,32.1,55366.4,55366,50-60
Armenia,National Sales Manager,Sales Retail and Wholesale,38.6,19.5,29.5,34.1,36.2,32.1,52611.32,52611,50-60
Armenia,Astronomer,Science and Technical Services,38.6,19.5,29.5,34.1,36.2,32.1,55366.4,55366,50-60
Armenia,Biologist,Science and Technical Services,38.6,19.5,29.5,34.1,36.2,32.1,51079.31,51079,50-60
Armenia,Biomedical Scientist,Science and Technical Services,38.6,19.5,29.5,34.1,36.2,32.1,52003.36,52003,50-60
Armenia,Biophysicist,Science and Technical Services,38.6,19.5,29.5,34.1,36.2,32.1,51389.53,51390,50-60
Armenia,Clinical Laboratory Scientist,Science and Technical Services,38.6,19.5,29.5,34.1,36.2,32.1,52920.78,52921,50-60
Armenia,Genomics Scientist,Science and Technical Services,38.6,19.5,29.5,34.1,36.2,32.1,50470.83,50471,50-60
Armenia,Global Technical Lead,Science and Technical Services,38.6,19.5,29.5,34.1,36.2,32.1,52920.78,52921,50-60
Armenia,Medical Scientist,Science and Technical Services,38.6,19.5,29.5,34.1,36.2,32.1,52304.92,52305,50-60
Armenia,Microbiologist,Science and Technical Services,38.6,19.5,29.5,34.1,36.2,32.1,54453.31,54453,50-60
Armenia,Natural Sciences Manager,Science and Technical Services,38.6,19.5,29.5,34.1,36.2,32.1,50470.83,50471,50-60
Armenia,Nuclear Engineer,Science and Technical Services,38.6,19.5,29.5,34.1,36.2,32.1,55982.77,55983,50-60
Armenia,Physicist,Science and Technical Services,38.6,19.5,29.5,34.1,36.2,32.1,52003.36,52003,50-60
Armenia,Technical Services Research and Development Manager,Science and Technical Services,38.6,19.5,29.5,34.1,36.2,32.1,55366.4,55366,50-60
Australia,Account Executive,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,56765.82,56766,50-60
Australia,Accounting Analyst,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,53846.43,53846,50-60
Australia,Accounting Head,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,88943.93,88944,80-90
Australia,Accounting Manager,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,87386.92,87387,80-90
Australia,Accounting Specialist,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,55857.56,55858,50-60
Australia,Accounting Supervisor,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,59425.7,59426,50-60
Australia,Accounting Unit Controller,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,69611.11,69611,60-70
Australia,Accounts Executive,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,52484.05,52484,50-60
Australia,Accounts Payable Manager,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,84662.16,84662,80-90
Australia,Accounts Receivable Administrator,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,60398.83,60399,60-70
Australia,Accounts Receivable Financial Analyst,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,59750.08,59750,50-60
Australia,Accounts Receivable Manager,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,83299.78,83300,80-90
Australia,Accounts Receivable Team Leader,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,59750.08,59750,50-60
Australia,Assistant Accounting Manager,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,80769.65,80770,80-90
Australia,Assistant Corporate Controller,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,57284.82,57285,50-60
Australia,Assistant Finance Manager,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,92317.44,92317,80-90
Australia,Assistant Financial Controller,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,56311.69,56312,50-60
Australia,Audit Director,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,99064.46,99064,80-90
Australia,Audit Supervisor,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,75968.88,75969,70-80
Australia,Auditing Manager,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,90955.06,90955,80-90
Australia,Billing Supervisor,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,64615.72,64616,60-70
Australia,Budget Analyst,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,74347,74347,70-80
Australia,Budget Manager,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,89981.93,89982,80-90
Australia,Capital Markets Associate,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,61696.33,61696,60-70
Australia,Cash Flow Analyst,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,67210.73,67211,60-70
Australia,Cash Management Manager,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,87386.92,87387,80-90
Australia,Cash Management Officer,Accounting and Finance,72.8,36.6,55.6,73.9,66.9,93.6,51640.68,51641,50-60
