Country,JobTitle,Category,CostofLivingIndex,RentIndex,CostofLivingPlusRentIndex,GroceriesIndex,RestaurantPriceIndex,LocalPurchasingPowerIndex,SalaryRange
Venezuela,Administration Manager,Executive and Management,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,Logistics Executive,Executive and Management,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,Headhunter,Human Resources,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,Human Resources Training Executive,Human Resources,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,Computer Security Specialist,Information Technology,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,Cyber Security Researcher,Information Technology,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,Information Security Analyst,Information Technology,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,Wireless Consultant,Information Technology,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,Broadcasting Presenter,Media / Broadcasting / Arts / Entertainment,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,Sales Trainer,Sales Retail and Wholesale,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,College and Career Readiness Specialist,Teaching / Education,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,Education Assistant Director,Teaching / Education,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Australia,Human Resources Specialist,Human Resources,72.8,36.6,55.6,73.9,66.9,93.6,50-60
Ecuador,Surgeon - Trauma,Health and Medical,33.6,8.9,21.9,34,24.8,36.4,50-60
El Salvador,Emergency Management Director,Health and Medical,41.1,16.8,29.6,42.7,30.5,22.2,50-60
El Salvador,Psychiatrist,Health and Medical,41.1,16.8,29.6,42.7,30.5,22.2,50-60
United Arab Emirates,Financial Services Sales Agent,Accounting and Finance,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Tax Examiner,Accounting and Finance,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Advertising Coordinator,Advertising / Graphic Design / Events,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Media Production Coordinator,Advertising / Graphic Design / Events,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Bank Branch Operations Coordinator,Banking,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Courier Sales Manager,Courier / Delivery / Transport / Drivers,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Assistant Occupational Therapist,Health and Medical,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Psychiatric Technician,Health and Medical,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Computer Engineer,Information Technology,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Information Technology Administrator,Information Technology,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Remedy Developer,Information Technology,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Teradata Developer,Information Technology,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Juvenile Probation Officer,Law Enforcement / Security / Fire,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Business Analytics Specialist,Marketing,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Purchasing Officer,Purchasing and Inventory,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Athletic Trainer,Recreation and Sports,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Academic Librarian,Teaching / Education,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Agricultural Sciences Teacher,Teaching / Education,57.8,46.9,52.6,45,50,98.7,50-60
United Arab Emirates,Telecommunication Equipment Engineer,Telecommunication,57.8,46.9,52.6,45,50,98.7,50-60
Afghanistan,Surgeon - Pediatric,Health and Medical,22.8,2.8,13.3,17.3,13,22.4,50-60
Azerbaijan,CEO,Executive and Management,31.1,8.1,20.2,28.4,30.1,29.4,50-60
Azerbaijan,Psychometrician,Health and Medical,31.1,8.1,20.2,28.4,30.1,29.4,50-60
Azerbaijan,Litigation Attorney,Legal,31.1,8.1,20.2,28.4,30.1,29.4,50-60
Croatia,Airlines Sales Director,Airlines / Aviation / Aerospace / Defense,46.9,14.5,31.5,42.6,42.6,58,50-60
Croatia,Lawyer,Legal,46.9,14.5,31.5,42.6,42.6,58,50-60
South Africa,Health Economist,Health and Medical,33.8,11.8,23.4,27.6,28.7,84.7,50-60
Iceland,Instrumentation and Control Engineer,Engineering,85.7,41,64.5,86.5,88,109.1,50-60
Iceland,Principal Support Engineer,Engineering,85.7,41,64.5,86.5,88,109.1,50-60
Iceland,Corporate Travel Consultant,Food / Hospitality / Tourism / Catering,85.7,41,64.5,86.5,88,109.1,50-60
Iceland,ABAP Developer,Information Technology,85.7,41,64.5,86.5,88,109.1,50-60
Iceland,Transmission Engineer,Media / Broadcasting / Arts / Entertainment,85.7,41,64.5,86.5,88,109.1,50-60
Iceland,Instructional Assistant,Teaching / Education,85.7,41,64.5,86.5,88,109.1,50-60
Chile,Medical Director,Health and Medical,39.9,11.5,26.4,40.6,35.1,36.4,50-60
Norway,Commodity Broker,Executive and Management,79.2,27.8,54.8,77.5,75.9,94.9,50-60
Norway,Information Systems Developer,Information Technology,79.2,27.8,54.8,77.5,75.9,94.9,50-60
Norway,Quality Surveyor,Quality Control and Compliance,79.2,27.8,54.8,77.5,75.9,94.9,50-60
Norway,Assistant Retail Store Manager,Sales Retail and Wholesale,79.2,27.8,54.8,77.5,75.9,94.9,50-60
Norway,Risk Safety Engineer,Science and Technical Services,79.2,27.8,54.8,77.5,75.9,94.9,50-60
Czech Republic,Supply Chain Manager,Fashion and Apparel,48.6,21,35.5,44.1,34.5,64.9,50-60
South Korea,Financial Project Manager,Accounting and Finance,64.4,17.1,42,83.1,32.4,90.6,50-60
South Korea,Financial Section Head,Accounting and Finance,64.4,17.1,42,83.1,32.4,90.6,50-60
South Korea,Check Processing Manager,Banking,64.4,17.1,42,83.1,32.4,90.6,50-60
South Korea,Agricultural Consultant,Gardening / Farming / Fishing,64.4,17.1,42,83.1,32.4,90.6,50-60
South Korea,Learning and Development Manager,Human Resources,64.4,17.1,42,83.1,32.4,90.6,50-60
South Korea,Marketing Distribution Executive,Marketing,64.4,17.1,42,83.1,32.4,90.6,50-60
South Korea,Compliance Specialist,Pharmaceutical and Biotechnology,64.4,17.1,42,83.1,32.4,90.6,50-60
South Korea,Technical Manager,Science and Technical Services,64.4,17.1,42,83.1,32.4,90.6,50-60
Costa Rica,Electronics Instructor,Electrical and Electronics Trades,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,CAE Engineer,Engineering,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Manufacturing Engineer,Engineering,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Quality Assurance Engineer,Engineering,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Production Engineer,Factory and Manufacturing,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Clothing and Textile Technologist,Fashion and Apparel,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Fine Dining Cook,Food / Hospitality / Tourism / Catering,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Medical Billing Specialist,Health and Medical,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Avaloq Developer,Information Technology,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Game Developer,Information Technology,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Insurance Quality Assurance Agent,Insurance,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Content Manager,Marketing,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Dance Director,Media / Broadcasting / Arts / Entertainment,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Pharmaceutical Sales Representative,Pharmaceutical and Biotechnology,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Supply Planner,Purchasing and Inventory,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Medical Device Sales,Sales Retail and Wholesale,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Retail Sales Associate,Sales Retail and Wholesale,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Archeology Teacher,Teaching / Education,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Physical Education Specialist,Teaching / Education,53.6,16.5,36,54.2,44.1,37,50-60
Costa Rica,Preschool Education Administrator,Teaching / Education,53.6,16.5,36,54.2,44.1,37,50-60
New Zealand,Instrumentation Engineer,Engineering,68.2,28.8,49.5,71.7,58.8,93,50-60
New Zealand,Software QA Engineer,Information Technology,68.2,28.8,49.5,71.7,58.8,93,50-60
New Zealand,Education Coordinator,Teaching / Education,68.2,28.8,49.5,71.7,58.8,93,50-60
Jordan,Architecture Consultant,Architecture,43,7.6,26.2,36.9,35.8,36.4,50-60
Jordan,Psychologist,Counseling,43,7.6,26.2,36.9,35.8,36.4,50-60
Jordan,Operations Executive,Executive and Management,43,7.6,26.2,36.9,35.8,36.4,50-60
Jordan,Recreation Manager,Recreation and Sports,43,7.6,26.2,36.9,35.8,36.4,50-60
Japan,Corporate Dealer,Banking,50.7,15.1,33.8,55.4,30.9,99.5,50-60
Japan,Associate Account Director,Executive and Management,50.7,15.1,33.8,55.4,30.9,99.5,50-60
Japan,Media Producer,Media / Broadcasting / Arts / Entertainment,50.7,15.1,33.8,55.4,30.9,99.5,50-60
Albania,Surgeon - Neurology,Health and Medical,40.8,10.2,26.3,39.4,31,31.6,50-60
Honduras,Cardiovascular Specialist,Health and Medical,37.3,10.3,24.5,36.6,26.5,35.1,50-60
Honduras,Physician - Cardiology,Health and Medical,37.3,10.3,24.5,36.6,26.5,35.1,50-60
Bermuda,Physician - Pediatric Neonatology,Health and Medical,133.6,91.4,113.6,143.6,124.2,84.3,50-60
El Salvador,Physician - Nuclear Medicine,Health and Medical,41.1,16.8,29.6,42.7,30.5,22.2,50-60
El Salvador,Radiology Manager,Health and Medical,41.1,16.8,29.6,42.7,30.5,22.2,50-60
Panama,Health Services Manager,Health and Medical,47.4,21.5,35.1,46.4,43.2,34.7,50-60
Panama,Bioinformatics Scientist,Pharmaceutical and Biotechnology,47.4,21.5,35.1,46.4,43.2,34.7,50-60
Panama,Genomics Scientist,Science and Technical Services,47.4,21.5,35.1,46.4,43.2,34.7,50-60
China,Bilingual Paraprofessional,Bilingual,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Solutions Manager,Executive and Management,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Anesthesia Technician,Health and Medical,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Information Technology Training Analyst,Information Technology,34.1,13.4,24.3,37.6,21,60.5,50-60
China,IOS Developer,Information Technology,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Marketing Account Supervisor,Marketing,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Marketing Analyst,Marketing,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Crude Oil Marketing Representative,Oil / Gas / Energy / Mining,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Mine Surveyor,Oil / Gas / Energy / Mining,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Pharmaceutical Regulatory Affairs Assistant,Pharmaceutical and Biotechnology,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Achievement Coach,Teaching / Education,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Access Operation Team Leader,Telecommunication,34.1,13.4,24.3,37.6,21,60.5,50-60
Czech Republic,Aircraft Maintenance Manager,Airlines / Aviation / Aerospace / Defense,48.6,21,35.5,44.1,34.5,64.9,50-60
Czech Republic,COO,Executive and Management,48.6,21,35.5,44.1,34.5,64.9,50-60
Czech Republic,Professor - Electrical Engineering,Teaching / Education,48.6,21,35.5,44.1,34.5,64.9,50-60
Taiwan,Financial Reporting Consultant,Accounting and Finance,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Exhibit Display Manager,Advertising / Graphic Design / Events,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Automotive Estimating Manager,Automotive,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Construction Project Coordinator,Construction / Building / Installation,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Disability Consultant,Counseling,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Surveyor,Executive and Management,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Surgical Instrument Techncian,Health and Medical,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Application Developer,Information Technology,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Business Process Analyst,Information Technology,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Full Stack Developer,Information Technology,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Information Security Engineer,Information Technology,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Linux Administrator,Information Technology,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,User Experience Researcher,Information Technology,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Forensic Science Technician,Law Enforcement / Security / Fire,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Product Strategy Researcher,Marketing,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Team Leader,Marketing,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,System Development Advisor,Oil / Gas / Energy / Mining,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Production Planner,Purchasing and Inventory,49,13.7,32.2,61.8,24.8,80,50-60
Taiwan,Education Consultant,Teaching / Education,49,13.7,32.2,61.8,24.8,80,50-60
Trinidad and Tobago,Physician - Pediatric Cardiology,Health and Medical,53.6,13.3,34.5,53.9,44.6,35.4,50-60
Trinidad and Tobago,Treatment Services Director,Health and Medical,53.6,13.3,34.5,53.9,44.6,35.4,50-60
Trinidad and Tobago,Crown Prosecution Service Lawyer,Legal,53.6,13.3,34.5,53.9,44.6,35.4,50-60
Jordan,Risk and Capital Manager,Executive and Management,43,7.6,26.2,36.9,35.8,36.4,50-60
Jordan,Anatomic Pathology Supervisor,Health and Medical,43,7.6,26.2,36.9,35.8,36.4,50-60
Bahamas,Employee Relations Specialist,Human Resources,88.5,41.8,66.3,80.5,80.4,38,50-60
Bahamas,Recruitment Consultant,Human Resources,88.5,41.8,66.3,80.5,80.4,38,50-60
Bahamas,Training Manager,Insurance,88.5,41.8,66.3,80.5,80.4,38,50-60
Bahamas,Fire Chief,Law Enforcement / Security / Fire,88.5,41.8,66.3,80.5,80.4,38,50-60
Bahamas,Telecommunications Analyst,Telecommunication,88.5,41.8,66.3,80.5,80.4,38,50-60
United States,Administrative Assistant,Administration / Reception / Secretarial,72.9,44.7,59.5,74.2,68.4,120.9,50-60
United States,Automotive Engineering Technician,Automotive,72.9,44.7,59.5,74.2,68.4,120.9,50-60
United States,Diamond Worker,Fashion and Apparel,72.9,44.7,59.5,74.2,68.4,120.9,50-60
United States,Petroleum Technician,Oil / Gas / Energy / Mining,72.9,44.7,59.5,74.2,68.4,120.9,50-60
Singapore,Buffet Manager,Food / Hospitality / Tourism / Catering,81.9,71.9,77.1,75,55.3,103,50-60
Singapore,Admitting Officer,Health and Medical,81.9,71.9,77.1,75,55.3,103,50-60
Singapore,Library Specialist,Teaching / Education,81.9,71.9,77.1,75,55.3,103,50-60
South Africa,Exercise Physiologist,Health and Medical,33.8,11.8,23.4,27.6,28.7,84.7,50-60
Thailand,Credit Manager,Accounting and Finance,36,12.4,24.8,41,18.4,32.9,50-60
Thailand,ATM Manager,Banking,36,12.4,24.8,41,18.4,32.9,50-60
Thailand,Foreign Exchange Manager,Banking,36,12.4,24.8,41,18.4,32.9,50-60
Thailand,Product Development Manager,Executive and Management,36,12.4,24.8,41,18.4,32.9,50-60
Thailand,Program Manager,Executive and Management,36,12.4,24.8,41,18.4,32.9,50-60
Thailand,Supply Chain Manager,Executive and Management,36,12.4,24.8,41,18.4,32.9,50-60
Thailand,Manufacturing Manager,Factory and Manufacturing,36,12.4,24.8,41,18.4,32.9,50-60
Thailand,Ambulatory Services Director,Health and Medical,36,12.4,24.8,41,18.4,32.9,50-60
Thailand,CME Specialist,Health and Medical,36,12.4,24.8,41,18.4,32.9,50-60
Thailand,Exploration Manager,Oil / Gas / Energy / Mining,36,12.4,24.8,41,18.4,32.9,50-60
Thailand,Pharmaceutical Sales and Marketing Manager,Pharmaceutical and Biotechnology,36,12.4,24.8,41,18.4,32.9,50-60
Thailand,Marine Biologist,Science and Technical Services,36,12.4,24.8,41,18.4,32.9,50-60
Thailand,Metallurgist,Science and Technical Services,36,12.4,24.8,41,18.4,32.9,50-60
Thailand,Education Director,Teaching / Education,36,12.4,24.8,41,18.4,32.9,50-60
Thailand,Professor - Marketing,Teaching / Education,36,12.4,24.8,41,18.4,32.9,50-60
Bulgaria,Global Wholesale Manager,Sales Retail and Wholesale,38.7,9.9,25.1,37.6,32.8,52.6,50-60
Bulgaria,Medical Scientist,Science and Technical Services,38.7,9.9,25.1,37.6,32.8,52.6,50-60
Czech Republic,Geologist,Environmental,48.6,21,35.5,44.1,34.5,64.9,50-60
Czech Republic,Online Banking Manager,Information Technology,48.6,21,35.5,44.1,34.5,64.9,50-60
Czech Republic,Policy Change Director,Insurance,48.6,21,35.5,44.1,34.5,64.9,50-60
Jersey,Collections Representative,Accounting and Finance,74.3,52.5,64,64.1,93.6,72,50-60
Jersey,Commercial and Industrial Designer,Advertising / Graphic Design / Events,74.3,52.5,64,64.1,93.6,72,50-60
Jersey,Call Center Scheduling Manager,Customer Service and Call Center,74.3,52.5,64,64.1,93.6,72,50-60
Jersey,Demi Chef,Food / Hospitality / Tourism / Catering,74.3,52.5,64,64.1,93.6,72,50-60
Jersey,Contracts Associate,Legal,74.3,52.5,64,64.1,93.6,72,50-60
Jersey,Lab Technician,Science and Technical Services,74.3,52.5,64,64.1,93.6,72,50-60
Denmark,Accounts Payable and Receivable Specialist,Accounting and Finance,75.2,28.6,53.1,65,82.6,103.3,50-60
Denmark,Admitting Officer,Health and Medical,75.2,28.6,53.1,65,82.6,103.3,50-60
Denmark,Merchandiser,Sales Retail and Wholesale,75.2,28.6,53.1,65,82.6,103.3,50-60
Algeria,Chief of Psychology,Health and Medical,29.5,4.1,17.5,35.6,13.1,25.4,50-60
France,Chief of Staff,Executive and Management,66,22.3,45.3,68.6,57.9,83.4,50-60
France,Packaging Manager,Factory and Manufacturing,66,22.3,45.3,68.6,57.9,83.4,50-60
France,Production Engineer,Factory and Manufacturing,66,22.3,45.3,68.6,57.9,83.4,50-60
France,Production Inspector,Factory and Manufacturing,66,22.3,45.3,68.6,57.9,83.4,50-60
France,Database Developer,Information Technology,66,22.3,45.3,68.6,57.9,83.4,50-60
France,User Interface Designer,Information Technology,66,22.3,45.3,68.6,57.9,83.4,50-60
France,Eligibility Specialist,Insurance,66,22.3,45.3,68.6,57.9,83.4,50-60
France,Fuel Cell Engineer,Oil / Gas / Energy / Mining,66,22.3,45.3,68.6,57.9,83.4,50-60
France,Pharmaceutical Technologist,Pharmaceutical and Biotechnology,66,22.3,45.3,68.6,57.9,83.4,50-60
France,Asset Protection Specialist,Purchasing and Inventory,66,22.3,45.3,68.6,57.9,83.4,50-60
France,Learning Designer,Teaching / Education,66,22.3,45.3,68.6,57.9,83.4,50-60
France,Telecommunications Chief Engineer,Telecommunication,66,22.3,45.3,68.6,57.9,83.4,50-60
Ireland,Investment Associate,Accounting and Finance,66.5,47.3,57.4,58.9,65.9,82,50-60
Ireland,Technical Program Manager,Administration / Reception / Secretarial,66.5,47.3,57.4,58.9,65.9,82,50-60
Ireland,Architect,Architecture,66.5,47.3,57.4,58.9,65.9,82,50-60
Ireland,Automotive Assembly Manager,Automotive,66.5,47.3,57.4,58.9,65.9,82,50-60
Ireland,Mortgage Servicing Manager,Banking,66.5,47.3,57.4,58.9,65.9,82,50-60
Ireland,Mechanical Engineering Manager,Engineering,66.5,47.3,57.4,58.9,65.9,82,50-60
Ireland,Logistics Manager,Executive and Management,66.5,47.3,57.4,58.9,65.9,82,50-60
Ireland,Labor Relations Manager,Human Resources,66.5,47.3,57.4,58.9,65.9,82,50-60
Ireland,Information Technology Quality Assurance Manager,Information Technology,66.5,47.3,57.4,58.9,65.9,82,50-60
Ireland,Legal Consultant,Legal,66.5,47.3,57.4,58.9,65.9,82,50-60
Ireland,Digital Media Specialist,Marketing,66.5,47.3,57.4,58.9,65.9,82,50-60
Ireland,Broadcasting Presenter,Media / Broadcasting / Arts / Entertainment,66.5,47.3,57.4,58.9,65.9,82,50-60
Ireland,Media Operations Manager,Media / Broadcasting / Arts / Entertainment,66.5,47.3,57.4,58.9,65.9,82,50-60
New Zealand,Flight Simulation Engineer,Airlines / Aviation / Aerospace / Defense,68.2,28.8,49.5,71.7,58.8,93,50-60
New Zealand,Lean Consultant,Business Planning,68.2,28.8,49.5,71.7,58.8,93,50-60
New Zealand,Automation Engineer,Engineering,68.2,28.8,49.5,71.7,58.8,93,50-60
New Zealand,Packaging Manager,Factory and Manufacturing,68.2,28.8,49.5,71.7,58.8,93,50-60
New Zealand,Sales Consultant,Sales Retail and Wholesale,68.2,28.8,49.5,71.7,58.8,93,50-60
Brazil,Physician - Maternal / Fetal Medicine,Health and Medical,35.2,9,22.8,32.4,26,30.1,50-60
Croatia,College Dean,Teaching / Education,46.9,14.5,31.5,42.6,42.6,58,50-60
Fiji,Deputy CFO,Accounting and Finance,34.8,15.2,25.5,40,27.7,64,50-60
Iceland,CAE Engineer,Engineering,85.7,41,64.5,86.5,88,109.1,50-60
Iceland,Design Engineer,Engineering,85.7,41,64.5,86.5,88,109.1,50-60
Iceland,Principal Engineer,Engineering,85.7,41,64.5,86.5,88,109.1,50-60
Iceland,Account Coordinator,Executive and Management,85.7,41,64.5,86.5,88,109.1,50-60
Iceland,Agricultural Engineer,Gardening / Farming / Fishing,85.7,41,64.5,86.5,88,109.1,50-60
Iceland,Stores and Logistics Coordinator,Purchasing and Inventory,85.7,41,64.5,86.5,88,109.1,50-60
Iraq,Radiology Manager,Health and Medical,30.2,8.2,19.8,27.4,20.7,42,50-60
Japan,Contracts Manager,Factory and Manufacturing,50.7,15.1,33.8,55.4,30.9,99.5,50-60
Japan,Legal Consultant,Legal,50.7,15.1,33.8,55.4,30.9,99.5,50-60
Croatia,Dietitian,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,50-60
Croatia,Director of Sales,Sales Retail and Wholesale,46.9,14.5,31.5,42.6,42.6,58,50-60
Sweden,Robotics Engineer,Engineering,62.2,23.1,43.6,61.8,56.1,94.6,50-60
Sweden,Emergency Response Specialist,Health and Medical,62.2,23.1,43.6,61.8,56.1,94.6,50-60
Sweden,Sharepoint Consultant,Information Technology,62.2,23.1,43.6,61.8,56.1,94.6,50-60
Sweden,VB.NET Developer,Information Technology,62.2,23.1,43.6,61.8,56.1,94.6,50-60
Sweden,Content Manager,Marketing,62.2,23.1,43.6,61.8,56.1,94.6,50-60
Sweden,Chief Contract Compliance Engineer,Oil / Gas / Energy / Mining,62.2,23.1,43.6,61.8,56.1,94.6,50-60
Sweden,Chemical Technologist,Science and Technical Services,62.2,23.1,43.6,61.8,56.1,94.6,50-60
Austria,Cargo Executive,Airlines / Aviation / Aerospace / Defense,66.8,23.7,46.4,64.8,59,84.4,50-60
Austria,Used Car Manager,Automotive,66.8,23.7,46.4,64.8,59,84.4,50-60
Austria,Bank Compliance Specialist,Banking,66.8,23.7,46.4,64.8,59,84.4,50-60
Austria,Beauty Educator,Fitness / Hair / Beauty,66.8,23.7,46.4,64.8,59,84.4,50-60
Austria,2nd Line Systems Engineer,Information Technology,66.8,23.7,46.4,64.8,59,84.4,50-60
Austria,Systems Integrator,Information Technology,66.8,23.7,46.4,64.8,59,84.4,50-60
Austria,Test Analyst,Information Technology,66.8,23.7,46.4,64.8,59,84.4,50-60
Austria,Legislative Liaison,Legal,66.8,23.7,46.4,64.8,59,84.4,50-60
Austria,3D Lab Technologist,Science and Technical Services,66.8,23.7,46.4,64.8,59,84.4,50-60
Belgium,Executive Secretary,Administration / Reception / Secretarial,63,21.4,43.3,56.1,67.8,90.7,50-60
Belgium,Materials Planner,Automotive,63,21.4,43.3,56.1,67.8,90.7,50-60
Belgium,Field Inspector,Construction / Building / Installation,63,21.4,43.3,56.1,67.8,90.7,50-60
Belgium,Executive Pastry Chef,Food / Hospitality / Tourism / Catering,63,21.4,43.3,56.1,67.8,90.7,50-60
Cyprus,Aircraft Pilot,Airlines / Aviation / Aerospace / Defense,57.1,25,41.8,49.3,54,59.4,50-60
Cyprus,Purchasing Manager,Purchasing and Inventory,57.1,25,41.8,49.3,54,59.4,50-60
Estonia,Shipping Manager,Factory and Manufacturing,53,15.5,35.2,45.2,48.8,69,50-60
Estonia,Financial Systems Manager,Information Technology,53,15.5,35.2,45.2,48.8,69,50-60
Estonia,Pharmaceutical Regulatory Affairs Manager,Pharmaceutical and Biotechnology,53,15.5,35.2,45.2,48.8,69,50-60
Estonia,Statistician,Science and Technical Services,53,15.5,35.2,45.2,48.8,69,50-60
Estonia,Engineering Lecturer,Teaching / Education,53,15.5,35.2,45.2,48.8,69,50-60
Finland,Customer Relations Specialist,Customer Service and Call Center,65.5,20.8,44.3,61.6,63.8,97.3,50-60
Finland,Neurophysiology Technologist,Health and Medical,65.5,20.8,44.3,61.6,63.8,97.3,50-60
